,name,team,position,passing_cmp,passing_att,passing_yds,passing_td,passing_ints,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fantasy_points_bro
1,Antonio Brown,Pit,WR,0,0,0,0,0,4,22.3,0.1,107.7,1420.2,7.7,303.3
2,Julio Jones,Atl,WR,0,0,0,0,0,0,0,0,95.7,1434.5,7.4,284.8
3,Jordy Nelson,GB,WR,0,0,0,0,0,0,0,0,92.2,1276.6,10.2,281.3
4,Odell Beckham Jr.,NYG,WR,0,0,0,0,0,0,0,0,97.4,1312.4,8.1,276.8
5,A.J. Green,Cin,WR,0,0,0,0,0,0,0,0,96.1,1314.8,7.6,273.5
6,Mike Evans,TB,WR,0,0,0,0,0,0,0,0,86.8,1202.1,8.7,260.4
7,Michael Thomas,NO,WR,0,0,0,0,0,0,0,0,94.2,1171.6,8,259.2
8,T.Y. Hilton,Ind,WR,0,0,0,0,0,0,0,0,84.1,1292.6,7.4,258.6
9,Doug Baldwin,Sea,WR,0,0,0,0,0,4.1,25.7,0.1,85.6,1098.7,6.6,237.6
10,Demaryius Thomas,Den,WR,0,0,0,0,0,0,0,0,86.9,1081.5,5.9,229.5
11,DeAndre Hopkins,Hou,WR,0,0,0,0,0,0,0,0,83,1135,5.4,228.9
12,Amari Cooper,Oak,WR,0,0,0,0,0,4,25.4,0.1,81.8,1110.2,5.6,228.6
13,Michael Crabtree,Oak,WR,0,0,0,0,0,0,0,0,84.9,982.4,7.2,226.1
14,Terrelle Pryor Sr.,Wsh,WR,0,0,0,0,0,3.3,20.7,0.1,76.5,1082.5,6.4,225.6
15,Emmanuel Sanders,Den,WR,0,0,0,0,0,0,0,0,82.9,1107.8,5.3,224.6
16,Larry Fitzgerald,Ari,WR,0,0,0,0,0,0,0,0,89.7,1002.2,5.8,224.3
17,Brandin Cooks,NE,WR,0,0,0,0,0,4.3,26.5,0.2,77.4,1053.2,6.1,222.8
18,Golden Tate,Det,WR,0,0,0,0,0,9.8,55.2,0.2,84.8,976.6,5.5,220.6
19,Alshon Jeffery,Phi,WR,0,0,0,0,0,0,0,0,75.6,1063.8,5.6,215.6
20,Dez Bryant,Dal,WR,0,0,0,0,0,0,0,0,69.4,999.4,7.7,214.7
21,Julian Edelman,NE,WR,0,0,0,0,0,8.5,54.2,0.3,80,918.2,6,214.3
22,Jarvis Landry,Mia,WR,0,0,0,0,0,4.1,24.1,0.1,87.6,944.2,4.5,212.2
23,Allen Robinson,Jax,WR,0,0,0,0,0,0,0,0,73,993.5,6.6,212.1
24,Davante Adams,GB,WR,0,0,0,0,0,0,0,0,71.9,890.4,8,208.4
25,Keenan Allen,LAC,WR,0,0,0,0,0,0,0,0,83,950.8,5,207.5
26,Tyreek Hill,KC,WR,0,0,0,0,0,22.9,144.1,0.9,76,824.5,4.1,206.9
27,Kelvin Benjamin,Car,WR,0,0,0,0,0,0,0,0,67.7,974.7,6.6,204.6
28,Jamison Crowder,Wsh,WR,0,0,0,0,0,4,25.3,0.1,78.7,959.2,4.2,202.7
29,Pierre Garcon,SF,WR,0,0,0,0,0,0,0,0,80.3,989,3.9,202.2
30,Sammy Watkins,LAR,WR,0,0,0,0,0,0,0,0,70.1,1065.7,4.3,201.8
31,Martavis Bryant,Pit,WR,0,0,0,0,0,6,37.9,0.2,61.5,922.5,7.1,200.9
32,Stefon Diggs,Min,WR,0,0,0,0,0,3.7,23.5,0.1,79.5,924.6,4.3,200.5
33,Willie Snead,NO,WR,0,0,0,0,0,0,0,0,74.7,944.3,5.3,199.7
34,DeVante Parker,Mia,WR,0,0,0,0,0,0,0,0,66.4,917.5,6.4,196.5
35,Brandon Marshall,NYG,WR,0,0,0,0,0,0,0,0,67,873.8,6.5,193.4
36,Donte Moncrief,Ind,WR,0,0,0,0,0,1.9,11.7,0.1,68.6,787.1,7.3,191.6
37,Jeremy Maclin,Bal,WR,0,0,0,0,0,2.3,14.4,0,75,910.6,3.9,190
38,Randall Cobb,GB,WR,0,0,0,0,0,7.4,47.5,0.2,68.2,781.4,6,188.9
39,Kenny Britt,Cle,WR,0,0,0,0,0,7.5,46.9,0.2,64.5,922,4.5,188.2
40,Cameron Meredith,Chi,WR,0,0,0,0,0,2.4,15.1,0.1,71.1,858.7,4.4,183.2
41,DeSean Jackson,TB,WR,0,0,0,0,0,0,0,0,58,949.4,4.5,180.5
42,Adam Thielen,Min,WR,0,0,0,0,0,3.7,23.5,0.1,67.7,871.5,3.6,179.6
43,Jordan Matthews,Buf,WR,0,0,0,0,0,0,0,0,67.6,839.8,4.2,176.2
44,Mike Wallace,Bal,WR,0,0,0,0,0,3.8,24.6,0.1,65.5,817.8,4.2,174.2
45,Marvin Jones,Det,WR,0,0,0,0,0,0,0,0,55.9,824.3,5.7,172.3
46,Corey Davis,Ten,WR,0,0,0,0,0,0,0,0,59.7,751.6,5.8,169.8
47,Eric Decker,Ten,WR,0,0,0,0,0,0,0,0,55.7,749,6.4,168.2
48,Tyrell Williams,LAC,WR,0,0,0,0,0,0,0,0,55,803.3,5.4,168
49,Torrey Smith,Phi,WR,0,0,0,0,0,0,0,0,52.2,829.8,4.5,161.4
50,Ted Ginn Jr.,NO,WR,0,0,0,0,0,4,28.5,0.1,51.4,757.3,4.7,159.6
51,Rishard Matthews,Ten,WR,0,0,0,0,0,0,0,0,53.3,755.1,5,158.8
52,Cole Beasley,Dal,WR,0,0,0,0,0,0,0,0,65.9,701.6,3.2,155.5
53,Mohamed Sanu,Atl,WR,0,0,0,0,0,3.9,24.2,0.2,54.7,631.2,5.5,154.3
54,Corey Coleman,Cle,WR,0,0,0,0,0,0,0,0,60.5,752.6,3.1,154.2
55,Sterling Shepard,NYG,WR,0,0,0,0,0,4,25,0.1,58,669.1,4.6,154
56,John Brown,Ari,WR,0,0,0,0,0,3.6,22.7,0.1,51.5,745.5,3.8,151.5
57,Marqise Lee,Jax,WR,0,0,0,0,0,8.5,53.4,0.2,54.4,660.4,3.4,150.9
58,Tyler Lockett,Sea,WR,0,0,0,0,0,4.1,25.7,0.1,50,695.9,3.7,147.5
59,Kevin White,Chi,WR,0,0,0,0,0,0,0,0,57.1,659.7,4.2,147.4
60,Devin Funchess,Car,WR,0,0,0,0,0,0,0,0,46.9,692.8,5,146.7
61,Taylor Gabriel,Atl,WR,0,0,0,0,0,3.9,24.6,0.2,49.7,684.6,4.3,146.6
62,Kenny Golladay,Det,WR,0,0,0,0,0,0,0,0,51.8,632.3,5.1,145.3
63,Robby Anderson,NYJ,WR,0,0,0,0,0,3.5,22.5,0.1,52.8,732.7,2.8,145.3
64,Josh Doctson,Wsh,WR,0,0,0,0,0,0,0,0,50.2,689.2,4.1,143.3
65,Allen Hurns,Jax,WR,0,0,0,0,0,0,0,0,50.6,687.7,4,142.1
66,Zay Jones,Buf,WR,0,0,0,0,0,0,0,0,53.2,660.8,3.5,140.2
67,Breshad Perriman,Bal,WR,0,0,0,0,0,0,0,0,52.7,682.9,3.2,139.8
68,Marquise Goodwin,SF,WR,0,0,0,0,0,1.9,11.6,0,47.7,714.9,2.9,137.2
69,Kenny Stills,Mia,WR,0,0,0,0,0,0,0,0,43,667.3,4.3,135
70,J.J. Nelson,Ari,WR,0,0,0,0,0,4.4,27.7,0.1,37.2,631,3.6,125.2
71,Terrance Williams,Dal,WR,0,0,0,0,0,0,0,0,40.5,618.8,3.7,123.9
72,Robert Woods,LAR,WR,0,0,0,0,0,0,0,0,49.2,558.8,2.4,119
73,Curtis Samuel,Car,WR,0,0,0,0,0,31.1,158.7,1,36.5,438.8,2.4,115
74,Charone Peake,NYJ,WR,0,0,0,0,0,0,0,0,46.8,543.8,2.2,113.9
75,Braxton Miller,Hou,WR,0,0,0,0,0,8.8,55.3,0.2,41.2,456.2,3.1,111.2
76,Markus Wheaton,Chi,WR,0,0,0,0,0,0,0,0,40.1,542.7,2.7,110.1
77,Carlos Henderson,Den,WR,0,0,0,0,0,0,0,0,41.5,516,2.6,109
78,Albert Wilson,KC,WR,0,0,0,0,0,1.9,12,0.1,42.8,493.9,2.6,108.9
79,Cooper Kupp,LAR,WR,0,0,0,0,0,0,0,0,45.5,507.3,2.2,108.8
80,Laquon Treadwell,Min,WR,0,0,0,0,0,0,0,0,41.3,470.6,2.8,105.1
